id_cliente,idade,renda,valor_divida,dias_atraso,numero_contatos,canal_contato,regiao,acordo_ofertado,pagamento_realizado
38,32,10756,4882,166,5,WhatsApp,Nordeste,1,1
39,64,15712,2285,652,5,Telefone,Sudeste,0,0
40,68,3413,46298,203,7,Telefone,Nordeste,0,0
41,61,12093,12235,496,3,WhatsApp,Nordeste,0,0
42,72,3272,30677,625,2,Telefone,Sudeste,1,0
43,69,14496,31212,468,5,Email,Sul,0,0
44,74,4371,17179,713,3,Telefone,Norte,1,0
45,20,14734,43513,385,1,WhatsApp,Nordeste,1,1
46,54,18544,35865,314,5,Telefone,Sudeste,1,1
47,68,12021,17564,255,9,Telefone,Norte,1,1
48,24,12142,31063,23,4,WhatsApp,Centro-Oeste,1,1
49,38,2632,33592,339,10,Email,Sul,0,0
50,26,2199,48428,493,8,Email,Nordeste,0,0
51,56,16034,27367,511,10,Email,Sul,1,1
52,35,11730,45882,366,5,Email,Nordeste,1,0
53,21,7797,34254,372,13,Telefone,Nordeste,0,0
54,42,14339,20002,599,2,Telefone,Nordeste,1,1
55,31,9312,1260,219,10,Telefone,Sul,1,1
56,67,6057,24642,475,4,Email,Centro-Oeste,1,0
57,26,3679,45153,423,14,Telefone,Sudeste,0,0
58,43,12530,42496,356,9,WhatsApp,Sudeste,1,1
59,70,10565,17790,460,7,WhatsApp,Centro-Oeste,0,0
60,19,9775,5999,503,8,Email,Centro-Oeste,1,1
61,37,19306,864,27,7,WhatsApp,Nordeste,0,1
62,45,16589,20297,223,14,Telefone,Nordeste,1,0
63,64,4680,41295,690,2,Email,Sudeste,1,0
64,24,8196,33035,148,8,Telefone,Nordeste,1,0
65,61,11083,46800,424,2,Email,Nordeste,1,0
66,25,18498,47676,351,7,Telefone,Centro-Oeste,0,1
67,64,15369,16605,186,9,WhatsApp,Sul,0,0
68,52,13257,8439,415,8,Email,Norte,1,0
69,31,18154,14436,429,6,WhatsApp,Norte,1,1
70,34,13758,42529,41,3,WhatsApp,Nordeste,0,0
71,53,3968,16363,393,9,WhatsApp,Nordeste,0,0
72,67,15708,13061,703,14,WhatsApp,Norte,1,1
73,57,16542,10947,79,8,WhatsApp,Centro-Oeste,1,1
74,21,17139,31124,717,2,WhatsApp,Norte,0,0
75,19,13046,47440,544,14,Telefone,Norte,0,0
76,23,13827,45146,450,2,Email,Norte,1,1
77,71,15770,12911,474,1,WhatsApp,Nordeste,1,1
78,59,17023,19965,142,9,WhatsApp,Nordeste,1,1
79,21,15800,38716,251,14,Telefone,Norte,1,1
80,71,12275,20142,294,2,Telefone,Nordeste,1,1
81,46,13765,31762,610,0,Email,Norte,1,0
82,35,18173,30863,136,14,WhatsApp,Centro-Oeste,1,1
83,43,8114,2607,484,3,Email,Nordeste,1,0
84,61,4752,8428,312,7,Telefone,Sul,1,1
85,51,8915,48502,555,4,Telefone,Nordeste,0,0
86,27,18162,19817,632,1,WhatsApp,Centro-Oeste,0,1
87,53,12616,49578,46,2,WhatsApp,Centro-Oeste,1,1
88,31,18464,25517,236,0,WhatsApp,Nordeste,0,1
89,48,6458,14028,48,1,WhatsApp,Sudeste,1,1
90,65,5776,13813,198,0,Telefone,Norte,1,0
91,32,6276,2059,84,1,Email,Norte,1,1
92,25,18708,15667,543,2,Telefone,Centro-Oeste,0,0
93,31,5332,15843,161,0,Telefone,Nordeste,1,1
94,40,16401,39098,428,10,Telefone,Sudeste,1,1
95,74,6945,8023,71,8,WhatsApp,Sul,0,1
96,57,2880,28939,520,9,Email,Norte,1,0
97,38,11365,16024,52,4,Telefone,Sudeste,1,1
98,33,15426,13785,45,7,WhatsApp,Norte,1,1
99,62,13080,11473,293,4,WhatsApp,Nordeste,0,0
100,35,7134,23194,465,7,Telefone,Norte,0,0
101,64,7310,36274,550,6,Telefone,Sul,1,0
102,70,11679,4802,380,11,WhatsApp,Nordeste,1,1
103,41,13751,22891,478,3,Email,Centro-Oeste,0,0
104,43,14631,5111,262,14,Telefone,Sudeste,1,1
105,42,14207,9872,580,6,Telefone,Norte,1,1
106,62,19733,24812,179,5,WhatsApp,Nordeste,1,1
107,58,4249,14580,357,2,WhatsApp,Nordeste,1,1
108,46,14656,15582,419,8,Email,Norte,0,1
109,32,18089,47909,698,11,Email,Centro-Oeste,1,0
110,62,4950,43361,201,9,WhatsApp,Norte,1,0
111,18,8714,31177,13,14,WhatsApp,Centro-Oeste,0,0
112,42,13314,21374,443,12,WhatsApp,Norte,0,0
113,24,6641,8878,286,8,WhatsApp,Nordeste,1,1
114,26,4208,2097,258,13,Telefone,Sul,0,0
115,41,19875,12100,570,4,Email,Sul,1,1
116,18,16588,4247,548,7,WhatsApp,Nordeste,1,1
117,61,13334,14379,490,6,WhatsApp,Sul,1,0
118,25,13778,13517,498,8,Email,Centro-Oeste,1,1
119,41,11514,25315,705,6,WhatsApp,Nordeste,1,0
120,28,4773,19464,333,3,Email,Centro-Oeste,0,0
121,68,15867,29312,562,3,Telefone,Nordeste,1,1
122,34,6038,40700,32,10,Email,Centro-Oeste,0,1
123,25,14041,25214,610,7,WhatsApp,Centro-Oeste,1,1
124,52,10212,19390,43,5,WhatsApp,Sul,0,1
125,52,10668,5225,351,8,WhatsApp,Nordeste,0,0
126,50,5051,43705,334,13,WhatsApp,Norte,0,0
127,22,13797,21184,559,9,WhatsApp,Sul,1,1
128,59,12465,26825,270,13,Email,Centro-Oeste,1,1
129,56,4332,33042,413,6,Email,Centro-Oeste,0,0
130,58,14922,46537,575,6,Telefone,Norte,1,0
131,45,1652,13592,19,3,WhatsApp,Norte,0,0
132,24,12656,30882,347,2,Telefone,Centro-Oeste,1,0
133,26,12608,40270,613,7,Telefone,Norte,1,1
134,25,4300,25957,37,6,WhatsApp,Sudeste,0,0
135,29,6810,6631,619,3,Email,Sul,0,0
136,51,11444,46529,92,12,WhatsApp,Nordeste,1,0
137,50,4110,25715,185,3,WhatsApp,Norte,1,1
138,65,13567,13112,28,0,WhatsApp,Norte,0,1
139,72,2604,37805,548,10,Telefone,Sudeste,1,0
140,40,12228,13591,372,6,Telefone,Nordeste,0,0
141,41,8763,35603,530,0,WhatsApp,Sudeste,0,0
142,54,3414,37589,345,9,WhatsApp,Nordeste,1,1
143,52,1906,30259,419,9,WhatsApp,Sul,0,0
144,61,15189,46522,196,3,WhatsApp,Norte,1,1
145,57,1666,1059,78,10,WhatsApp,Sul,1,1
146,39,2008,1213,167,13,WhatsApp,Nordeste,0,0
147,44,19545,37861,90,2,WhatsApp,Norte,1,1
148,52,5164,15684,264,10,Email,Sudeste,0,0
149,18,14550,15761,472,2,Telefone,Centro-Oeste,1,1
150,52,2180,20872,208,11,Telefone,Sudeste,1,0
151,54,5857,32640,271,0,WhatsApp,Centro-Oeste,1,1
152,64,2863,33524,263,3,WhatsApp,Sudeste,0,0
153,31,11023,47842,506,13,WhatsApp,Nordeste,0,0
154,20,3792,33044,512,0,WhatsApp,Sul,1,0
155,18,3038,537,576,13,WhatsApp,Centro-Oeste,0,0
156,22,4908,43532,524,12,Email,Nordeste,1,0
157,43,10252,13197,312,12,Email,Sul,0,0
158,72,19787,41920,174,7,WhatsApp,Sul,1,1
159,31,1674,49198,431,14,WhatsApp,Norte,0,0
160,56,3730,32207,463,14,Email,Norte,1,1
161,44,5787,26516,101,0,WhatsApp,Norte,1,1
162,26,13612,35100,16,11,Telefone,Centro-Oeste,0,1
163,32,8606,48785,709,13,Email,Centro-Oeste,1,0
164,32,11189,24484,258,5,Email,Sul,0,0
165,43,13546,5667,244,6,WhatsApp,Centro-Oeste,0,1
166,59,19451,932,348,14,WhatsApp,Sul,0,1
167,30,2651,4651,249,9,WhatsApp,Nordeste,1,0
168,68,9119,48180,105,13,Email,Sudeste,1,1
169,49,7533,6911,694,11,Email,Sul,0,0
170,56,10060,31288,667,1,Telefone,Sul,1,0
171,66,6446,27123,287,3,Telefone,Nordeste,0,0
172,69,3407,22604,169,10,Telefone,Norte,1,0
173,49,4990,756,420,13,Telefone,Norte,0,0
174,21,5673,33939,47,2,Email,Norte,1,1
175,47,12565,33757,43,12,Telefone,Sul,1,1
176,54,19177,40157,321,12,Telefone,Sul,1,1
177,40,6269,45174,221,8,WhatsApp,Centro-Oeste,1,0
178,56,6296,18566,513,13,Telefone,Centro-Oeste,1,0
179,62,14546,45871,712,6,WhatsApp,Sudeste,1,0
180,32,15711,33246,441,1,WhatsApp,Sudeste,1,0
181,60,6497,2960,144,10,Email,Centro-Oeste,1,0
182,46,18876,37797,28,11,Telefone,Sul,0,1
183,53,9612,35243,553,5,Email,Nordeste,1,0
184,30,6787,3716,659,8,WhatsApp,Centro-Oeste,1,0
185,49,12078,14767,690,11,Telefone,Sul,0,0
186,24,19360,10081,167,2,WhatsApp,Centro-Oeste,1,1
187,68,7926,5015,635,13,Email,Norte,1,0
188,39,13099,22576,586,14,WhatsApp,Centro-Oeste,1,1
189,45,1889,45316,249,10,Telefone,Norte,1,1
190,19,2499,10276,357,5,Telefone,Sul,0,0
191,59,14312,22447,111,13,WhatsApp,Norte,1,1
192,62,17099,3463,692,2,Email,Centro-Oeste,1,1
193,74,3355,7286,700,2,Email,Norte,0,0
194,70,9625,14366,719,3,WhatsApp,Nordeste,1,0
195,23,15294,39468,234,8,WhatsApp,Norte,0,0
196,45,4263,32805,24,10,WhatsApp,Norte,0,0
197,45,6486,17860,26,12,WhatsApp,Sudeste,1,1
198,61,2981,40613,381,7,Email,Nordeste,0,0
199,61,5231,33313,346,0,Email,Sul,1,1
200,37,18335,1693,378,12,WhatsApp,Norte,1,1
201,47,18766,5012,522,11,WhatsApp,Nordeste,0,0
202,28,12258,23166,17,10,Telefone,Sul,1,1
203,72,17811,17130,245,0,WhatsApp,Nordeste,1,1
204,45,10066,9483,718,6,WhatsApp,Sudeste,0,0
205,42,13389,1136,624,2,WhatsApp,Sul,1,0
206,56,12754,4275,717,13,Telefone,Sul,1,1
207,50,12942,2921,539,10,Telefone,Norte,1,1
208,18,15021,13525,583,6,Telefone,Centro-Oeste,1,0
209,74,6059,9780,688,8,WhatsApp,Sul,0,0
210,44,17699,37451,202,2,Email,Sul,0,1
211,74,8791,11851,248,2,Telefone,Sudeste,0,0
212,69,9660,38591,118,1,Email,Sudeste,1,1
213,30,1612,46156,9,9,WhatsApp,Sudeste,0,0
214,58,17424,30671,598,0,Email,Norte,1,0
215,20,18023,4144,23,8,Email,Sul,1,1
216,56,2924,16642,240,5,WhatsApp,Sudeste,0,0
217,23,12308,8273,585,5,WhatsApp,Sudeste,0,0
218,25,7543,28966,27,7,Email,Nordeste,1,1
219,44,8489,11278,81,10,Telefone,Nordeste,0,0
220,26,7761,13001,596,4,Email,Sudeste,1,0
221,54,2387,47677,199,8,Telefone,Norte,1,0
222,50,17933,2608,555,14,Telefone,Centro-Oeste,1,0
223,68,17902,29869,92,10,WhatsApp,Nordeste,1,1
224,59,13753,36882,84,4,WhatsApp,Nordeste,1,1
225,61,9346,26318,300,1,Email,Sul,1,1
226,41,7932,10751,296,5,WhatsApp,Sul,1,1
227,32,14952,23841,647,14,WhatsApp,Sudeste,1,1
228,71,14895,12178,454,8,Telefone,Sul,0,0
229,49,5265,14867,281,2,Telefone,Sul,0,0
230,49,17450,30172,59,9,WhatsApp,Centro-Oeste,1,1
231,41,14002,4832,342,3,WhatsApp,Norte,1,1
232,58,11241,12502,465,9,WhatsApp,Sudeste,1,1
233,69,7441,20784,342,10,WhatsApp,Centro-Oeste,1,1
234,66,6355,16200,610,7,Telefone,Sudeste,1,1
235,66,16666,14269,62,5,WhatsApp,Norte,1,1
236,69,7288,29818,625,12,Email,Sudeste,1,0
237,29,1701,24823,429,6,Email,Sul,1,0
238,56,12061,28110,658,6,Telefone,Norte,1,0
239,19,18401,7463,256,3,WhatsApp,Centro-Oeste,0,1
240,20,9237,8338,706,14,Telefone,Centro-Oeste,1,0
241,66,3488,45667,347,11,WhatsApp,Nordeste,0,0
242,54,16941,12743,526,5,WhatsApp,Centro-Oeste,1,1
243,66,13237,28439,304,11,Email,Nordeste,1,1
244,73,15756,2345,615,8,WhatsApp,Sul,1,1
245,34,8662,47210,245,2,Email,Centro-Oeste,0,0
246,66,14565,17266,412,7,WhatsApp,Norte,0,0
247,19,15614,37380,217,6,WhatsApp,Nordeste,0,1
248,19,9899,13280,516,3,Email,Centro-Oeste,1,0
249,45,7133,48958,474,9,Telefone,Sul,0,0
250,71,7255,43356,36,12,Telefone,Norte,1,1
251,40,12325,2009,178,2,Telefone,Norte,1,1
252,54,5617,24457,387,13,WhatsApp,Sul,0,0
253,49,3018,45672,17,6,Telefone,Centro-Oeste,1,1
254,50,17846,34846,711,9,WhatsApp,Sudeste,1,1
255,18,4100,17763,48,8,Telefone,Centro-Oeste,1,0
256,36,14737,47374,62,11,Telefone,Nordeste,1,0
257,19,5054,26648,69,9,Email,Nordeste,1,0
258,70,17693,32033,659,2,Telefone,Centro-Oeste,1,1
259,61,16753,43108,366,14,WhatsApp,Nordeste,1,1
260,43,17694,13431,162,9,Telefone,Sudeste,0,1
261,49,3242,1859,488,8,WhatsApp,Sudeste,0,0
262,23,2806,25032,431,12,WhatsApp,Norte,0,0
263,49,5349,20844,489,7,WhatsApp,Nordeste,0,0
264,72,13860,4742,230,11,Telefone,Centro-Oeste,1,1
265,21,14268,21101,370,2,WhatsApp,Norte,1,0
266,72,14532,49732,178,14,WhatsApp,Sudeste,1,1
267,28,5695,19616,410,7,Email,Norte,0,0
268,73,9119,35977,568,11,Telefone,Sul,0,0
269,34,10780,31282,590,3,WhatsApp,Nordeste,1,0
270,55,4142,46059,270,5,WhatsApp,Centro-Oeste,0,0
271,41,10869,19380,206,11,Telefone,Sudeste,1,1
272,22,15796,3999,82,9,Email,Norte,1,1
273,69,16938,32087,193,1,WhatsApp,Centro-Oeste,1,1
274,51,17174,44958,618,7,Email,Nordeste,0,0
275,23,6257,26520,189,12,Telefone,Centro-Oeste,0,0
276,39,4494,8580,276,8,Telefone,Nordeste,0,0
277,28,16726,23707,74,6,Email,Nordeste,1,1
278,65,2771,34457,10,7,Telefone,Nordeste,1,1
279,33,3313,14408,635,6,Email,Norte,0,0
280,50,9975,31152,216,10,WhatsApp,Nordeste,0,0
281,26,5896,30844,290,9,Telefone,Centro-Oeste,1,1
282,23,10783,25534,445,3,Telefone,Sul,0,0
283,33,14818,26288,552,0,WhatsApp,Centro-Oeste,1,1
284,46,18700,13251,193,2,Telefone,Norte,0,0
285,20,1582,47982,639,6,WhatsApp,Nordeste,1,0
286,37,3420,34293,289,10,WhatsApp,Sul,1,0
287,53,9317,33339,583,10,WhatsApp,Norte,1,0
288,36,13183,38814,649,6,Telefone,Sudeste,0,0
289,43,12836,35953,144,10,Email,Sudeste,0,1
290,20,17096,9885,389,12,WhatsApp,Sudeste,1,1
291,36,3593,18732,407,2,Telefone,Sul,1,0
292,37,14405,43844,370,0,WhatsApp,Centro-Oeste,1,1
293,49,9867,35290,441,9,Email,Sul,1,0
294,24,6785,16331,651,8,Telefone,Sul,0,0
295,69,12396,20625,564,11,Telefone,Sul,1,0
296,58,6437,46208,529,5,Telefone,Sudeste,0,0
297,50,18253,18182,677,12,WhatsApp,Centro-Oeste,0,0
298,57,19702,37370,13,12,Telefone,Sul,0,1
299,56,19985,17788,702,11,Email,Centro-Oeste,1,1
300,35,14477,36294,340,6,WhatsApp,Nordeste,0,0
301,57,19663,39977,312,0,Telefone,Sul,1,1
302,18,9174,24905,104,0,Email,Sul,0,0
303,28,19248,39237,339,3,WhatsApp,Sul,0,0
304,45,5176,3120,198,6,Email,Nordeste,1,1
305,74,3926,35914,300,13,Email,Nordeste,0,0
306,42,4462,38133,444,10,Telefone,Sudeste,0,0
307,67,2359,35557,359,14,WhatsApp,Norte,1,0
308,40,13548,40638,368,10,WhatsApp,Centro-Oeste,1,1
309,48,5638,14354,169,7,WhatsApp,Norte,0,0
310,47,3924,10177,149,9,Email,Sul,1,0
311,59,11909,44611,42,8,Email,Sul,1,1
312,52,5517,24574,202,0,Telefone,Sudeste,1,1
313,24,11951,18324,244,3,WhatsApp,Norte,0,0
314,33,11778,1265,669,3,WhatsApp,Sul,0,0
315,43,12496,45939,464,2,Telefone,Norte,1,1
316,65,2634,32115,449,6,Telefone,Sudeste,1,0
317,74,6619,49426,437,0,Email,Norte,0,0
318,69,7194,37360,531,8,Telefone,Centro-Oeste,1,0
319,66,5664,13475,565,12,Email,Sudeste,1,0
320,19,6539,9841,597,7,Telefone,Norte,1,0
321,18,16131,28641,273,1,Telefone,Sul,0,1
322,65,11942,12834,430,1,WhatsApp,Nordeste,0,0
323,29,9752,49345,213,7,Email,Nordeste,1,1
324,22,19221,16335,104,10,Telefone,Sudeste,1,1
325,54,19068,27048,192,13,WhatsApp,Nordeste,0,1
326,49,3051,35934,689,14,WhatsApp,Centro-Oeste,1,0
327,72,14125,25539,659,0,WhatsApp,Sudeste,1,1
328,26,3129,33030,380,12,Telefone,Sul,0,0
329,58,19410,39236,81,6,WhatsApp,Sul,1,1
330,52,2861,40909,705,8,WhatsApp,Sudeste,1,0
331,36,5870,19065,549,11,Telefone,Nordeste,0,0
332,65,6783,10334,377,14,WhatsApp,Nordeste,0,0
333,33,9110,37156,154,2,Email,Sul,0,1
334,20,12058,1340,642,6,WhatsApp,Centro-Oeste,1,0
335,37,16424,14373,571,5,Telefone,Nordeste,1,1
336,41,16339,32068,240,14,WhatsApp,Centro-Oeste,0,1
337,71,13449,11346,374,6,WhatsApp,Nordeste,1,1
338,73,12126,6399,204,6,WhatsApp,Sudeste,0,1
339,50,3493,21002,611,9,Email,Norte,1,0
340,41,2369,1065,350,0,Telefone,Sul,0,0
341,69,2514,39273,688,13,WhatsApp,Sudeste,1,0
342,28,11603,42424,143,2,Telefone,Nordeste,1,1
343,66,18486,43742,189,9,WhatsApp,Sul,1,1
344,25,13513,9687,272,0,Email,Norte,1,1
345,53,2190,7726,532,4,Email,Norte,0,0
346,55,18373,42647,300,2,Telefone,Nordeste,1,1
347,57,12248,39158,426,0,Telefone,Sul,1,1
348,37,9524,46381,46,1,Email,Nordeste,1,1
349,52,18178,4811,95,9,Telefone,Norte,1,1
350,65,6988,44714,64,4,Telefone,Sudeste,0,0
351,42,12535,42116,413,10,Email,Sudeste,0,0
352,52,19757,26189,643,2,Telefone,Centro-Oeste,1,1
353,42,14355,6583,9,5,Telefone,Norte,1,1
354,46,4317,13098,459,8,Email,Norte,0,0
355,35,5958,17440,715,5,Telefone,Nordeste,1,0
356,63,6807,27380,409,1,Telefone,Centro-Oeste,1,0
357,35,10433,3080,470,1,WhatsApp,Centro-Oeste,1,1
358,19,19925,47112,506,14,WhatsApp,Sul,0,1
359,71,18563,42821,686,12,WhatsApp,Nordeste,0,0
360,52,12159,9886,73,12,Telefone,Sudeste,0,0
361,33,7238,20022,84,7,WhatsApp,Sul,1,1
362,58,7168,26724,59,10,Email,Centro-Oeste,1,1
363,53,15927,15135,21,7,Telefone,Sudeste,1,1
364,50,9197,1171,458,5,Telefone,Norte,1,1
365,21,17946,34045,157,9,WhatsApp,Nordeste,1,1
366,50,9329,27355,329,6,Email,Centro-Oeste,1,0
367,31,12251,36290,573,0,Telefone,Norte,0,0
368,38,14950,47085,576,14,Telefone,Centro-Oeste,0,0
369,65,8852,14760,680,11,WhatsApp,Sudeste,0,0
370,37,15016,1574,203,8,Telefone,Sul,0,1
371,73,9826,43176,641,4,Telefone,Sudeste,0,0
372,25,5144,9975,106,8,Telefone,Nordeste,0,0
373,24,9503,13378,122,1,Email,Nordeste,1,1
374,20,4778,15620,318,13,Email,Centro-Oeste,1,0
375,34,8796,23647,182,7,Email,Sudeste,0,1
376,50,4574,2486,615,6,Telefone,Sul,1,0
377,65,14761,44093,316,10,Email,Nordeste,1,1
378,29,12673,32930,625,13,Email,Sul,1,0
379,68,9812,42461,406,3,WhatsApp,Norte,1,0
380,39,3137,17930,70,2,WhatsApp,Centro-Oeste,1,1
381,72,15152,2676,160,3,WhatsApp,Sul,1,1
382,39,6603,19222,240,3,WhatsApp,Centro-Oeste,0,1
383,63,18528,43315,523,9,WhatsApp,Norte,0,1
384,47,3532,19117,138,9,WhatsApp,Sul,0,0
385,55,4261,27615,495,7,Telefone,Sul,1,0
386,55,16695,37876,679,12,WhatsApp,Norte,0,1
387,62,19952,12406,247,12,WhatsApp,Sudeste,1,1
388,68,18125,40502,543,3,Telefone,Sul,0,0
389,71,4168,7110,524,13,Email,Sul,1,1
390,25,16138,43792,243,4,Email,Nordeste,1,1
391,44,17454,13911,620,1,Telefone,Sudeste,0,0
392,44,18686,9680,336,12,WhatsApp,Sul,1,1
393,51,13856,48493,422,3,WhatsApp,Norte,1,1
394,38,1695,10573,194,6,WhatsApp,Centro-Oeste,1,1
395,47,3687,37751,308,2,WhatsApp,Norte,0,0
396,50,13207,31460,645,13,WhatsApp,Sudeste,1,0
397,45,3830,6401,506,13,Email,Nordeste,0,0
398,64,5106,39397,281,0,WhatsApp,Nordeste,1,0
399,50,1560,43683,675,12,WhatsApp,Nordeste,0,0
400,22,15887,4982,439,7,WhatsApp,Norte,1,1
401,65,5427,42954,715,7,Telefone,Centro-Oeste,0,0
402,36,7796,25928,608,5,WhatsApp,Centro-Oeste,0,0
403,21,15122,7900,483,6,WhatsApp,Sul,1,0
404,52,15625,40074,223,14,WhatsApp,Centro-Oeste,1,1
405,66,4091,43784,117,9,WhatsApp,Centro-Oeste,1,0
406,34,13627,7896,192,10,WhatsApp,Sul,0,1
407,61,17248,7838,618,1,Telefone,Norte,1,1
408,45,7621,43218,516,4,WhatsApp,Norte,1,1
409,47,2700,13000,530,11,Telefone,Sudeste,1,0
410,46,17221,12045,307,6,Telefone,Norte,1,1
411,63,12587,5741,532,14,Telefone,Nordeste,1,1
412,70,8472,24278,122,8,WhatsApp,Nordeste,1,1
413,23,1636,23321,649,0,WhatsApp,Sudeste,0,0
414,52,18913,5195,592,14,WhatsApp,Centro-Oeste,0,1
415,58,16846,12030,154,2,Telefone,Sudeste,0,1
416,54,2161,47580,537,5,Telefone,Sul,1,0
417,41,3972,14818,452,13,WhatsApp,Sudeste,1,0
418,46,1586,22831,169,6,Telefone,Sudeste,1,1
419,66,12204,26855,59,5,Email,Nordeste,1,1
420,63,7719,11824,301,0,Telefone,Sul,1,1
421,70,17822,28649,553,3,WhatsApp,Sul,1,1
422,48,16249,3718,550,5,Telefone,Sudeste,1,1
423,52,8468,20641,117,7,WhatsApp,Sul,1,1
424,50,15096,37284,127,9,Telefone,Sul,1,1
425,69,3200,3337,405,14,WhatsApp,Norte,1,1
426,38,4200,49580,399,13,WhatsApp,Sul,1,0
427,49,13321,40302,515,3,Email,Centro-Oeste,1,1
428,40,19531,40577,498,6,Telefone,Sul,1,1
429,50,7020,14879,528,10,WhatsApp,Nordeste,0,0
430,20,13010,4739,398,2,WhatsApp,Norte,1,1
431,35,5187,45396,265,7,Telefone,Nordeste,0,0
432,42,18480,21312,263,0,Email,Nordeste,0,0
433,59,10337,30169,398,3,Telefone,Centro-Oeste,1,0
434,48,16455,49124,646,7,Email,Norte,1,1
435,71,12781,10111,527,9,WhatsApp,Sudeste,1,1
436,20,15417,4650,436,3,Telefone,Sul,0,0
437,57,6257,11609,360,1,Telefone,Centro-Oeste,1,1
438,63,14545,34714,129,1,Telefone,Centro-Oeste,1,1
439,41,10412,26516,634,3,WhatsApp,Sudeste,1,0
440,67,6233,12436,241,14,Telefone,Centro-Oeste,1,0
441,49,8581,11536,627,12,Telefone,Sudeste,0,1
442,64,10190,39736,709,3,Telefone,Sudeste,0,0
443,39,3173,14521,222,14,Telefone,Sudeste,1,0
444,40,15818,37443,214,1,Telefone,Centro-Oeste,0,1
445,19,12671,48658,592,6,Telefone,Sudeste,0,0
446,44,15045,38348,135,14,WhatsApp,Centro-Oeste,1,1
447,59,13303,15971,386,5,WhatsApp,Norte,1,1
448,19,3794,48161,303,10,Telefone,Sudeste,0,0
449,43,5130,23744,287,2,Email,Centro-Oeste,0,0
450,34,16593,49277,562,7,WhatsApp,Centro-Oeste,0,0
451,57,18030,39485,189,7,Telefone,Centro-Oeste,0,1
452,50,15953,38940,297,0,WhatsApp,Sul,1,1
453,26,13674,2002,526,2,WhatsApp,Sul,0,0
454,60,4953,34678,389,4,Telefone,Sudeste,1,0
455,71,6007,4270,459,1,Telefone,Norte,1,1
456,65,12102,43365,261,11,WhatsApp,Sudeste,1,1
457,56,7128,4501,704,11,Telefone,Nordeste,1,0
458,46,9828,21446,715,4,Email,Nordeste,0,0
459,59,17034,1098,113,10,Email,Norte,1,1
460,72,5052,30816,36,9,WhatsApp,Norte,1,1
461,43,17902,26067,79,2,Telefone,Norte,1,1
462,52,3742,27008,275,14,WhatsApp,Sul,0,0
463,67,16165,44244,278,8,WhatsApp,Sul,0,1
464,42,6597,39659,674,10,Telefone,Nordeste,0,0
465,41,10140,30776,312,0,Telefone,Norte,1,0
466,30,3448,24171,529,3,WhatsApp,Centro-Oeste,1,0
467,24,7118,16950,204,9,Email,Nordeste,1,1
468,74,5736,15408,17,5,Email,Norte,1,0
469,53,3420,44858,714,14,Telefone,Centro-Oeste,0,0
470,62,12669,49547,476,8,Telefone,Norte,1,1
471,37,5688,36018,511,2,WhatsApp,Sudeste,1,0
472,18,13707,31712,210,14,Telefone,Centro-Oeste,0,1
473,25,1738,43184,499,2,WhatsApp,Sudeste,1,0
474,63,1704,7306,402,14,Email,Sul,1,0
475,33,12299,39697,429,11,WhatsApp,Nordeste,0,0
